Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Address,,,Tel No,Owner,Email,Web,FB,Twitter,GPS Lat,GPS Long,Mon open,Mon close,Tues open,Tues close,Weds open,Weds close,Thurs open,Thurs close,Fri open,Fri close,Sat open,Sat close,Sun open,Sun close,Additional,Description,Specific Photos,Family,Picnic,Good Coffee,Beach,Spectacular View,Near an Airport,On an island,Pet friendly,Disabled Access,Music,Pub Food,Watersports,Cycling,Golf,Drying Room,Irish crafts,WiFi,Seafood,Food & Drink Tours,Fine Wine,Craft Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyke ‘N’ Pomes,"Queen’s Quay,","Derry,",Londonderry,+44 7594 307561,Kevin Pyke,pykie76@hotmail.co.uk,www.pykenpomes.com,https://www.facebook.com/pages/Pyke-N-Pommes/336202456501124,https://twitter.com/KevinPyke, 55.007196°, -7.318686°,,,12:00:00 PM,3:00:00 PM,12:00:00 PM,3:00:00 PM,12:00:00 PM,3:00:00 PM,12:00:00 PM,8:00:00 PM,12:00:00 PM,8:00:00 PM,,,"If Pyke 'N' Pommes are not along the riverfront, it normally means they are at an event/private party.","If you stroll down to Queens Quay, hard by the River Foyle, you will find Pyke ’n’ Pommes, and you will have found the food truck of your dreams. You make your mind up, place your order – The Codfather; the Notorious P.I.G; the Legenderry Burger – you sit on a bench or you sit in your car and enjoy it, and you ask yourself: how on earth can this food, which has been finished in an old British Leyland truck parked beside a river, possibly be so good? This is restaurant quality food, this is cutting-edge food, this is magnificent food. The sourcing is superlative, and the finishing does more than justice to impeccable ingredients.
“It’s a bit of theatre, having a bit of craic. That’s what makes it work”, says Mr Pyke, but there’s more to it than that. What makes it work is Mr Pyke’s passionate conviction, as well as his sourcing and his skills.",pykepoms.jpg,1,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Saddlers House & Merchant House,"Saddler’s House, 36 Gt James Street; Merchant House, 16 Queen Street,","Derry,",Londonderry,+ 44 2871 269691 (Sadler’s House) + 44 2871 269691 (Merchant House),Joan & Peter Pyne,saddlershouse@btinternet.com,www.thesaddlershouse.com.,0,0, 55.000001°, -7.325487°,,,,,,,,,,,,,,,Closed during the winter.,"Joan Pyne is a woman in search of an authenticity, in search of an aesthetic. Her restoration work on two major Derry properties – The Saddler’s House and The Merchant’s House – is valuable and important work, especially in a Province that is often fixated on the historical past, but careless about its architectural heritage. And, the breakfasts are terrific: don’t miss the marmalade!
",Merchant-House.jpg,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,"1 Bonds Hill,","Derry,",Londonderry,+ 44 2871 345180,Ian Orr,eat@brownsrestaurant.com,www.brownsrestaurant.com,https://www.facebook.com/pages/Browns-Restaurant-and-Champagne-Lounge/113580612019361,https://twitter.com/ian034, 54.993415°, -7.312008°,,,12:00:00 PM,9:30:00 PM,12:00:00 PM,9:30:00 PM,12:00:00 PM,9:30:00 PM,12:00:00 PM,9:30:00 PM,5:00:00 PM,9:30:00 PM,12:00:00 PM,3:30:00 PM,"Lunch served noon-3pm, dinner from 5pm.","Ian Orr is cooking some of the best food in Ireland right now. Browns delivers some of the most interesting, and involving contemporary cooking that you will find anywhere, yet what is instructive about Ian Orr is that his cooking is not at all didactic. His food is not grandstanding, he cooks for pleasure and comfort, not to show off, or demonstrate  what a hot shot he is. 
It’s the same in Brown’s in Town, Ian Orr’s second restaurant. BIT  is indubitably swish, and it’s a good swishness because it isn’t blowsy or brash: it’s subtle and restrained and, thereby, all the better. It’s the kind of room that makes you want to party, the kind of restaurant that shouts: restaurant! You might find yourself settling into one of those gorgeous booths and find, suddenly, that it is several hours later. The cooking is red hot, modern and unselfconscious, and the team deliver it with polished perfection.
",browns1.jpg,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns in Town,"23 Strand Road,","Derry,",Londonderry,+ 44 2871 362889,Ian Orr,brownsintown1@gmail.com,www.brownsrestaurant.com,https://www.facebook.com/pages/Browns-Restaurant-and-Champagne-Lounge/113580612019361,https://twitter.com/ian034, 54.999662°, -7.321815°,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:30:00 PM,5:00:00 PM,8:30:00 PM,"Lunch served noon-3pm, dinner from 5.30pm.","Ian Orr is cooking some of the best food in Ireland right now. Browns delivers some of the most interesting, and involving contemporary cooking that you will find anywhere, yet what is instructive about Ian Orr is that his cooking is not at all didactic. His food is not grandstanding, he cooks for pleasure and comfort, not to show off, or demonstrate  what a hot shot he is. 
It’s the same in Brown’s in Town, Ian Orr’s second restaurant. BIT  is indubitably swish, and it’s a good swishness because it isn’t blowsy or brash: it’s subtle and restrained and, thereby, all the better. It’s the kind of room that makes you want to party, the kind of restaurant that shouts: restaurant! You might find yourself settling into one of those gorgeous booths and find, suddenly, that it is several hours later. The cooking is red hot, modern and unselfconscious, and the team deliver it with polished perfection.
",,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Custom House,"Custom House St, Queens Quay,","Derry,",Londonderry,"+ 44 2871 373366
","Christopher Moran
",customhousederry@hotmail.co.uk,www.customhouserestaurant.com.,,, 54.998235°, -7.319887°,,,12:00:00 PM,9:30:00 PM,12:00:00 PM,9:30:00 PM,12:00:00 PM,9:30:00 PM,12:00:00 PM,10:00:00 PM,12:00:00 PM,10:00:00 PM,1:00:00 PM,9:00:00 PM,"Lunch served noon-3pm, dinner from 5.30pm.","This gorgeous restaurant and wine bar looks like something straight out of central Manhattan, and its restoration has been beautifully and painstakingly achieved. Christopher Moran’s menus offer an extensive tableau of dishes, all centred on properly curated foods – sourcing fish from Greencastle, 21-day aged steaks from Antrim, and chicken from Armagh, and there are lots of tasty things to tempt the appetite: crispy hen’s egg with streaky bacon and homemade brown sauce; chef’s lamb plate with aubergine caviar; cod with spinach and fennel potato. Stylish and very professional
",,,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry’s Restaurant
","
","Bridgend,",Donegal,"+ 353 74 936 8544
","Donal Doherty
",info@harrys.ie,www.harrys.ie,https://www.facebook.com/pages/Harrys-Restaurant/287755862602,https://twitter.com/HarrysDonal, 55.040114°, -7.377473°,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,12:00:00 PM,9:00:00 PM,Lunch served until 4pm.,"Donal Doherty isn’t a man to stand still. Having built the weekend market at Harry’s into a whizz-bang success with a brilliant array of producers – Slow Food Co sourdough breads; Carlan Foods sweet things; Hamilton Farm rare-breed pork; Donegal shellfish; Greencastle fish; Dexter beef from Marshalls; McArthur’s lamb; Dermot Carey’s organic vegetables – 2014 has also seen the arrival of the brilliant Derek Creagh as head chef, and there will be a new food offering in a re-built bar area which will feature a meat hanging room, and probably a roving food operation touring the coastal towns of the Wild Atlantic Way. 
So, as ever, it’s all go at Harry’s, and the signature style of Inishowen ingredients on an Inishowen menu produces superlative foods with superlative tastes – Greencastle queen scallops with garlic flowers and romanesco from the walled garden; mackerel ceviche with beet aioli; pork belly with pea tendrils and onion confit; trio of Dexter beef (sirloin; tenderloin; and rump) with broccoli rabe and dauphinoise potatoes; panna cotta with raspberry sorbet. The tastes and textures are vivid, bracing and beautiful, and Mr Doherty is the best host.",harrys1.jpg,1,1,1,,,1,,,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kealy’s Seafood Bar 
","The Harbour,
","Greencastle,",Donegal,"+ 353 74 938 1010
",Tricia Kealy,kealysseafoodbar@yahoo.ie,"www.kealysseafoodbar.ie
",https://www.facebook.com/kealysseafoodbar,https://twitter.com/kealysseafood, 55.203498°, -6.981505°,12:30:00 PM,11:30:00 PM,12:30:00 PM,11:30:00 PM,12:30:00 PM,11:30:00 PM,12:30:00 PM,11:30:00 PM,12:30:00 PM,11:30:00 PM,12:30:00 PM,11:30:00 PM,12:30:00 PM,11:30:00 PM,"Lunch 12.30pm - 3.00pm
Evening 7.00pm - 9.30pm
Barfood served all day
November to April closed Monday,Tuesday & WednesdayClosed Monday, Tuesday & Wednesday from November to March.","Kealy’s of Greencastle has always been a restaurant where seafood is treated with classical respect and restraint – haddock with a Stilton sauce; salmon with bearnaise sauce; john dory with anchovy butter; dover sole meuniere; lobster thermidor. These dishes are as unchanging, timeless and confident as is Kealy’s itself, one of the country’s classic seafood restaurants. If for some reason you don’t want to try the fish, they source excellent Angus beef from Mullan’s organic farm in ‘Derry, and have some nice vegetarian choices. 
",,1,,,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGrory’s
","Moville Road,
","Culdaff,",Donegal," + 353 74 937 9104
","Anne, John and Neil McGrory
",info@mcgrorys.ie,"www.mcgrorys.ie
",https://www.facebook.com/mcgrorys.culdaff,, 55.286361°, -7.165833°,12:30:00 PM,9:00:00 PM,12:30:00 PM,9:00:00 PM,12:30:00 PM,9:00:00 PM,12:30:00 PM,9:00:00 PM,12:30:00 PM,9:00:00 PM,12:30:00 PM,9:00:00 PM,12:30:00 PM,9:00:00 PM,,"The Inishowen legend that is the mighty McGrory’s powers on, with siblings Anne, John and Neil ladling out the hospitality as to the Donegal manner born. There is something that is so very generous about this trio as they go about their business: managing the bar, managing the restaurant and the rooms, managing the music and the gigs, that it animates the entire place. The music sessions held here in Culdaff are the stuff of legend, of course – Townes van Zandt live! – but McGrory’s is special whether you can pick with a plectrum or pluck a pizzicato, or whether your speciality is listening to other people doing just that. Creating a destination address in such a remote, northerly place is an heroic act, and the McGrorys exude the culture of their area with delightful charm.
",,,,,,,,,,,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
