,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Address 1,Address 2,County,Tel No,Contact Name,email,Website,description,relevant photo,,Zone Lat,Zone Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Local speciality: Filligan’s Preserves
","Tullyard,","Glenties,
",Donegal,"+ 353 749551628
","Philip and Sarah Moss
",moss@filligans.com,"www.filligans.com
","Philip and Sarah Moss have run Filligan’s, one of the most distinctive and creative artisan food businesses in Ireland, for almost twenty years now. Filligan’s Preserves are available locally in good B&Bs and shops, and they just have to be on your shopping list. Filligans preserves are stocked in the Craft Gallery, Glenties, Morgan’s, Portnoo and Bonners, Ardara.",,, 54.797167°, -8.283032°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local speciality: Kinnegar Craft Brewery ,"Rathmullan,
",,Donegal,"+ 353 749158875
","Rick Le Vert and Libby Carton
",info@kinnegarbrewing.ie,"www.kinnegarbrewing.com
","There are five beers in the Kinnegar stable: Limeburner, a pale ale; Rustbucket, a rye ale; Yannaroddy, their porter; Scraggy Bay, an India pale ale; and Devil’s Backbone, an amber ale. The Kinnegar beers are the perfect place to start the exuberant exploration of WAW craft brews. Brewery tours are available by prior arrangement on Saturdays between 12 and 3pm. Book on 074 915 8874.
",kinnegar_3093.jpg,, 55.094413°, -7.537363°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ramelton Country Market,"Castle Street,
","Ramelton,",Donegal,,Mary T Diver,divermt@eircom.net,https://www.facebook.com/pages/Greenman-Dunfanaghy/205962555055,"If you are in the region on a Saturday morning then don’t, whatever you do, miss the Ramelton Country Market. Legendary for its traybakes, breads, vegetarian foods, preserves, home-grown veg and festive goods. Get your elbows ready for the approach, as the cord drops and all the shoppers descend.",,, 55.035899°, -7.648091°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Harry’s Saturday Market
","Bonemaine,
","Bridgend,",Donegal,"+ 353 749368544
","Donal Doherty
",info@harrys.ie,"www.harrys.ie
","Here is the place to find everything you need if you are preparing a picnic for the journey, and great for self-catering.",harrysmarket.jpg,harrysmarket2.jpg, 55.040114°, -7.377473°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local speciality: SlowFoodCo Breads,"Portlough House, Rooskey,","Newtowncunningham, Lifford,",Donegal,"+ 353 749156777
",Kemal Scarpello,info@slowfoodco.com,"www.slowfood-co.com
","Genuinely slow-cooked breads from a wood-fired pizza oven. You can find them in the Tap Room, Rathmullan; Harry’s, Bridgend (ncluding the Saturday market); The Counter, Letterkenny and other outlets. The bakery is not open to the public at this time but you are welcome to visit by appointment. ",,, 55.035899°, -7.648091°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clonmany Scenic Walks,,,,,,,,"There’s a gentle walk up to the striking Glenevin waterfall, while the 15k Mamore Gap Walk along the ridge of the Urris Hills is one of the best hill walks in Ireland.",,, 55.262805°, -7.411611°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Irish Adventures Kayaking,"Shore Front, Moville,","Buncrana,",Donegal,+ 353 872202577,Adrian Harkin,info@irishadventures.com,www.irishadventures.com,"Extremely well run adventure school, offering courses for all levels, led by Adrian Harkin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Derry’s Guildhall, and its cafés",,"Derry,",Londonderry,,,,http://www.derrycity.gov.uk/,"Derry’s famous 17th century landmark is a centre for social, political and cultural events. There are two brilliant cafés associated with the Guildhall – Guild, which is housed in the riverside entrance to the building, and Legenderry Warehouse No 1, which is adjacent to the main building. Guild opens onto the riverside selling snacks and drinks prepared by much-loved Bundoran restaurant The Beach House. Legenderry Warehouse is great for brunch and is proud of it’s wonderful coffee. It also sports a very funky shop with very smart goods to bring home from the maiden city.

Legenderry Warehouse No 1, Guildhall Street, Derry
+ 44 2871 264798 www.legenderrywarehouseno1.com

Guild, The Guildhall, Derry + 44 2871 360505
www.guildcafe.co.uk
",DSC06943.jpg,Warehouse1.jpg, 54.997600°, -7.319161°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cycle Inishowen,"8 Chapel Street, Carndonagh,","Inishowen,",Donegal,+ 353 749374856,Blaise Harvey and Michael Ogden,info@cycleinishowen.com,www.cycleinishowen.com,"Have a 45 minute bike ride with Cycle Inishowen and learn the wildlife, geology and history.",,, 55.250624°, -7.266898°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Golf at Ballyliffin,"Ballyliffin Golf Club, Ballyliffin,","Inishowen,",Donegal,+ 353 749376119,,info@ballyliffingolfclub.com,www.ballyliffingolfclub.com,Ballyliffin boasts two of the most famous links golf courses in the country.,,, 55.292412°, -7.373113°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
